Country/Region,Confirmed_today,Confirmed_yesterday,Deaths_today,Recovered_today,"Change in 24 hours, Confirmed","Change in 24 hours, Deaths","Change in 24 hours, Recovered",Percentage Change,Mortality
US,1811360,1790172,105165,458231.0,21188,784,13473.0,1.18,5.81
Brazil,526447,514849,29937,211080.0,11598,623,4525.0,2.25,5.69
Russia,414328,405843,4849,175514.0,8485,156,3631.0,2.09,1.17
India,198370,190609,5608,95754.0,7761,200,3902.0,4.07,2.83
Peru,170039,164476,4634,68507.0,5563,128,1299.0,3.38,2.73
Chile,105158,99688,1113,44946.0,5470,59,2219.0,5.49,1.06
Iran,154445,151466,7878,121004.0,2979,81,2156.0,1.97,5.1
Pakistan,72460,69496,1543,26083.0,2964,60,812.0,4.26,2.13
Mexico,93435,90664,10167,66965.0,2771,237,3193.0,3.06,10.88
Bangladesh,49534,47153,672,10597.0,2381,22,816.0,5.05,1.36
Colombia,29384,27219,963,8384.0,2165,47,1352.0,7.95,3.28
Saudi Arabia,87142,85261,525,64306.0,1881,22,1864.0,2.21,0.6
South Africa,34357,32683,705,17291.0,1674,22,482.0,5.12,2.05
United Kingdom,277736,276156,39127,1221.0,1580,556,31.0,0.57,14.09
Qatar,58433,56910,40,33437.0,1523,2,3147.0,2.68,0.07
Egypt,26384,24985,1005,6447.0,1399,46,410.0,5.6,3.81
Ukraine,24562,23672,724,10053.0,890,16,515.0,3.76,2.95
Belarus,43403,42556,240,18776.0,847,5,262.0,1.99,0.55
Turkey,164769,163942,4563,128947.0,827,23,974.0,0.5,2.77
Canada,93288,92479,7404,0.0,809,30,0.0,0.87,7.94
Oman,12223,11437,50,2682.0,786,1,0.0,6.87,0.41
Kuwait,27762,27043,220,12899.0,719,8,1513.0,2.66,0.79
United Arab Emirates,35192,34557,266,18338.0,635,2,406.0,1.84,0.76
Argentina,17415,16851,556,5521.0,564,17,185.0,3.35,3.19
Philippines,18638,18086,960,3979.0,552,3,70.0,3.05,5.15
Bolivia,10531,9982,343,1137.0,549,30,169.0,5.5,3.26
Afghanistan,15750,15205,265,1428.0,545,8,100.0,3.58,1.68
Cameroon,6397,5904,199,0.0,493,8,0.0,8.35,3.11
Bahrain,11871,11398,19,7070.0,473,0,397.0,4.15,0.16
Indonesia,26940,26473,1641,7637.0,467,28,329.0,1.76,6.09
Kazakhstan,11308,10858,41,5587.0,450,1,183.0,4.14,0.36
Iraq,6868,6439,215,3275.0,429,10,119.0,6.66,3.13
Nigeria,10578,10162,299,3122.0,416,12,115.0,4.09,2.83
Singapore,35292,34884,24,22466.0,408,1,767.0,1.17,0.07
Poland,24165,23786,1074,11449.0,379,10,178.0,1.59,4.44
Panama,13837,13463,344,9514.0,374,8,0.0,2.78,2.49
France,189348,189009,28836,68558.0,339,31,85.0,0.18,15.23
Dominican Republic,17572,17285,502,10893.0,287,0,334.0,1.66,2.86
Sweden,37814,37542,4403,4971.0,272,8,0.0,0.72,11.64
Guatemala,5336,5087,116,795.0,249,8,60.0,4.89,2.17
Nepal,1811,1572,8,221.0,239,0,1.0,15.2,0.44
Djibouti,3569,3354,24,1521.0,215,0,17.0,6.41,0.67
Armenia,9492,9282,139,3402.0,210,8,16.0,2.26,1.46
Italy,233197,232997,33475,158355.0,200,60,848.0,0.09,14.35
Portugal,32700,32500,1424,19552.0,200,14,143.0,0.62,4.35
Germany,183594,183410,8555,165632.0,184,15,280.0,0.1,4.66
Azerbaijan,5662,5494,68,3508.0,168,5,80.0,3.06,1.2
Honduras,5362,5202,217,549.0,160,5,12.0,3.08,4.05
Spain,239638,239479,27127,150376.0,159,0,0.0,0.07,11.32
Venezuela,1662,1510,17,302.0,152,3,0.0,10.07,1.02
Sudan,5173,5026,298,1522.0,147,12,99.0,2.92,5.76
Romania,19398,19257,1276,13426.0,141,10,170.0,0.73,6.58
Guinea,3844,3706,23,2135.0,138,0,105.0,3.72,0.6
Belgium,58517,58381,9486,15919.0,136,19,32.0,0.23,16.21
Congo (Kinshasa),3195,3070,72,454.0,125,0,6.0,4.07,2.25
Algeria,9513,9394,661,5894.0,119,8,146.0,1.27,6.95
Cote d'Ivoire,2951,2833,33,1467.0,118,0,32.0,4.17,1.12
Moldova,8360,8251,305,4622.0,109,10,41.0,1.32,3.65
Netherlands,46749,46645,5981,179.0,104,6,1.0,0.22,12.79
Haiti,2226,2124,45,24.0,102,1,0.0,4.8,2.02
Israel,17169,17071,285,14878.0,98,0,66.0,0.57,1.66
Senegal,3739,3645,42,1858.0,94,0,57.0,2.58,1.12
North Macedonia,2315,2226,140,1569.0,89,7,17.0,4.0,6.05
Ethiopia,1257,1172,12,217.0,85,1,8.0,7.25,0.95
Guinea-Bissau,1339,1256,8,53.0,83,0,11.0,6.61,0.6
Tajikistan,4013,3930,47,0.0,83,0,0.0,2.11,1.17
Uzbekistan,3702,3623,15,2859.0,79,0,22.0,2.18,0.41
Ireland,25062,24990,1650,22089.0,72,-2,0.0,0.29,6.58
Kyrgyzstan,1817,1748,16,1181.0,69,0,11.0,3.95,0.88
El Salvador,2582,2517,46,1063.0,65,0,23.0,2.58,1.78
Kenya,2021,1962,69,482.0,59,5,4.0,3.01,3.41
Central African Republic,1069,1011,4,23.0,58,2,0.0,5.74,0.37
Mauritania,588,530,23,27.0,58,0,0.0,10.94,3.91
Maldives,1829,1773,6,488.0,56,1,35.0,3.16,0.33
Madagascar,826,771,6,174.0,55,0,6.0,7.13,0.73
Malawi,336,284,4,42.0,52,0,0.0,18.31,1.19
Mali,1315,1265,78,744.0,50,1,28.0,3.95,5.93
Somalia,2023,1976,79,361.0,47,1,13.0,2.38,3.91
Uganda,457,417,0,72.0,40,0,0.0,9.59,0.0
Malaysia,7857,7819,115,6404.0,38,0,51.0,0.49,1.46
Cuba,2083,2045,83,1826.0,38,0,17.0,1.86,3.98
"Korea, South",11541,11503,272,10446.0,38,1,24.0,0.33,2.36
Japan,16787,16751,899,14463.0,36,1,121.0,0.21,5.36
Czechia,9302,9268,321,0.0,34,1,0.0,0.37,3.45
Zambia,1089,1057,7,912.0,32,0,133.0,3.03,0.64
Yemen,354,323,84,0.0,31,4,0.0,9.6,23.73
Denmark,11899,11869,576,10610.0,30,2,50.0,0.25,4.84
Costa Rica,1084,1056,10,676.0,28,0,7.0,2.65,0.92
Morocco,7833,7807,205,5893.0,26,0,434.0,0.33,2.62
Finland,6885,6859,318,5500.0,26,-2,0.0,0.38,4.62
Zimbabwe,203,178,4,29.0,25,0,0.0,14.04,1.97
Cabo Verde,458,435,4,193.0,23,0,0.0,5.29,0.87
Suriname,44,23,1,9.0,21,0,0.0,91.3,2.27
Australia,7221,7202,102,6626.0,19,-1,8.0,0.26,1.41
Serbia,11430,11412,244,6726.0,18,1,28.0,0.16,2.13
Hungary,3892,3876,527,2156.0,16,1,9.0,0.41,13.54
Bosnia and Herzegovina,2524,2510,154,1888.0,14,1,26.0,0.56,6.1
Lebanon,1233,1220,27,715.0,13,0,3.0,1.07,2.19
Libya,168,156,5,52.0,12,0,0.0,7.69,2.98
Chad,790,778,66,539.0,12,1,48.0,1.54,8.35
Benin,243,232,3,147.0,11,0,4.0,4.74,1.23
Georgia,794,783,12,624.0,11,0,19.0,1.4,1.51
Sri Lanka,1643,1633,11,811.0,10,1,10.0,0.61,0.67
Paraguay,995,986,11,488.0,9,0,11.0,0.91,1.11
Switzerland,30871,30862,1920,28500.0,9,0,0.0,0.03,6.22
China,84154,84146,4638,76369.0,8,0,6.0,0.01,5.51
Liberia,296,288,27,159.0,8,0,2.0,2.78,9.12
Eswatini,293,285,3,194.0,8,1,5.0,2.81,1.02
Jordan,746,739,9,535.0,7,0,13.0,0.95,1.21
Tunisia,1084,1077,48,964.0,7,0,4.0,0.65,4.43
Rwanda,377,370,1,262.0,7,0,6.0,1.89,0.27
Bulgaria,2519,2513,140,1090.0,6,0,16.0,0.24,5.56
Mongolia,185,179,0,44.0,6,0,0.0,3.35,0.0
Norway,8446,8440,236,7727.0,6,0,0.0,0.07,2.79
Albania,1143,1137,33,877.0,6,0,5.0,0.53,2.89
Cyprus,949,944,17,790.0,5,0,0.0,0.53,1.79
Sierra Leone,865,861,46,475.0,4,0,21.0,0.46,5.32
Burma,228,224,6,138.0,4,0,0.0,1.79,2.63
Lithuania,1678,1675,70,1236.0,3,0,0.0,0.18,4.17
Botswana,38,35,1,20.0,3,0,0.0,8.57,2.63
Austria,16733,16731,668,15596.0,2,0,3.0,0.01,3.99
Jamaica,588,586,9,322.0,2,0,11.0,0.34,1.53
Uruguay,825,823,23,689.0,2,1,4.0,0.24,2.79
Namibia,25,24,0,16.0,1,0,2.0,4.17,0.0
Taiwan*,443,442,7,427.0,1,0,4.0,0.23,1.58
Togo,443,442,13,215.0,1,0,4.0,0.23,2.93
West Bank and Gaza,449,448,3,372.0,1,0,0.0,0.22,0.67
Sao Tome and Principe,484,483,12,68.0,1,0,0.0,0.21,2.48
Syria,123,122,5,0.0,1,0,0.0,0.82,4.07
Estonia,1870,1869,68,1625.0,1,0,1.0,0.05,3.64
Thailand,3082,3081,57,2965.0,1,0,2.0,0.03,1.85
Malta,619,618,9,537.0,1,0,3.0,0.16,1.45
Greece,2918,2917,179,1374.0,1,4,0.0,0.03,6.13
Luxembourg,4019,4018,110,3845.0,1,0,12.0,0.02,2.74
Slovakia,1522,1521,28,1368.0,1,0,2.0,0.07,1.84
Andorra,765,764,51,698.0,1,0,4.0,0.13,6.67
Tanzania,509,509,21,183.0,0,0,0.0,0.0,4.13
Eritrea,39,39,0,39.0,0,0,0.0,0.0,0.0
Fiji,18,18,0,15.0,0,0,0.0,0.0,0.0
Iceland,1806,1806,10,1794.0,0,0,0.0,0.0,0.55
Equatorial Guinea,1306,1306,12,200.0,0,0,0.0,0.0,0.92
Belize,18,18,2,16.0,0,0,0.0,0.0,11.11
Bhutan,43,43,0,6.0,0,0,0.0,0.0,0.0
Guyana,153,153,12,70.0,0,0,0.0,0.0,7.84
Timor-Leste,24,24,0,0.0,0,0,0.0,0.0,0.0
Ghana,8070,8070,36,2947.0,0,0,0.0,0.0,0.45
Trinidad and Tobago,117,117,8,108.0,0,0,0.0,0.0,6.84
Gabon,2655,2655,17,722.0,0,0,0.0,0.0,0.64
South Sudan,994,994,10,0.0,0,0,0.0,0.0,1.01
Bahamas,102,102,11,49.0,0,0,1.0,0.0,10.78
Holy See,12,12,0,2.0,0,0,0.0,0.0,0.0
Gambia,25,25,1,20.0,0,0,0.0,0.0,4.0
Antigua and Barbuda,26,26,3,19.0,0,0,0.0,0.0,11.54
Angola,86,86,4,18.0,0,0,0.0,0.0,4.65
Vietnam,328,328,0,293.0,0,0,14.0,0.0,0.0
Western Sahara,9,9,1,6.0,0,0,0.0,0.0,11.11
Barbados,92,92,7,76.0,0,0,0.0,0.0,7.61
Diamond Princess,712,712,13,651.0,0,0,0.0,0.0,1.83
Slovenia,1473,1473,109,1358.0,0,1,0.0,0.0,7.4
Brunei,141,141,2,138.0,0,0,0.0,0.0,1.42
Mauritius,335,335,10,322.0,0,0,0.0,0.0,2.99
Montenegro,324,324,9,315.0,0,0,0.0,0.0,2.78
Mozambique,254,254,2,0.0,0,0,0.0,0.0,0.79
MS Zaandam,9,9,2,0.0,0,0,0.0,0.0,22.22
New Zealand,1504,1504,22,1481.0,0,0,0.0,0.0,1.46
Nicaragua,759,759,35,370.0,0,0,0.0,0.0,4.61
Niger,958,958,65,844.0,0,1,5.0,0.0,6.78
Croatia,2246,2246,103,2077.0,0,0,5.0,0.0,4.59
Congo (Brazzaville),611,611,20,179.0,0,0,0.0,0.0,3.27
Comoros,106,106,2,26.0,0,0,0.0,0.0,1.89
Papua New Guinea,8,8,0,8.0,0,0,0.0,0.0,0.0
Liechtenstein,82,82,1,55.0,0,0,0.0,0.0,1.22
Lesotho,2,2,0,1.0,0,0,0.0,0.0,0.0
Latvia,1066,1066,24,745.0,0,0,0.0,0.0,2.25
Laos,19,19,0,0.0,0,0,0.0,0.0,0.0
Cambodia,125,125,0,123.0,0,0,0.0,0.0,0.0
Burundi,63,63,1,33.0,0,0,0.0,0.0,1.59
Dominica,16,16,0,16.0,0,0,0.0,0.0,0.0
Saint Kitts and Nevis,15,15,0,15.0,0,0,0.0,0.0,0.0
Saint Lucia,18,18,0,18.0,0,0,0.0,0.0,0.0
Saint Vincent and the Grenadines,26,26,0,15.0,0,0,0.0,0.0,0.0
San Marino,671,671,42,359.0,0,0,2.0,0.0,6.26
Burkina Faso,847,847,53,720.0,0,0,0.0,0.0,6.26
Kosovo,1064,1064,30,829.0,0,0,0.0,0.0,2.82
Ecuador,39098,39098,3358,19592.0,0,0,0.0,0.0,8.59
Seychelles,11,11,0,11.0,0,0,0.0,0.0,0.0
Monaco,99,99,4,90.0,0,0,0.0,0.0,4.04
Grenada,23,23,0,0.0,0,0,0.0,0.0,0.0
